id,Name,titleProject_id,class,score,login,password
56,Колендин Дмитрий Алексеевич,153,10в,4.0,Колендин_ДА,gjNAvbZq
57,Сулькова Екатерина Андреевна,325,8и,4.0,Сулькова_ЕА,c9YosFfN
58,Аржевитова Надежда Федоровна,242,10в,2.0,Аржевитова_НФ,xNxIK4CW
59,Крассов Валерий Олегович,201,8х,5.0,Крассов_ВО,KGa0a8IE
60,Сонураева Инна Андреевна,450,9т,3.0,Сонураева_ИА,B1pFonIJ
61,Пашин Роман Вадимович,204,10д,2.0,Пашин_РВ,Q97J0yJK
62,Фичкина Евгения Федоровна,29,11д,3.0,Фичкина_ЕФ,XYZ1w6Ld
63,Свилин Олег Виталиевич,123,8в,2.0,Свилин_ОВ,lv5jv0Kc
64,Рогоцкий Андрей Адамович,142,9в,2.0,Рогоцкий_АА,0OFCjF6T
65,Ахантьев Игорь Валериевич,80,10д,5.0,Ахантьев_ИВ,DeCb1ysh
66,Сочиникова Ксения Кирилловна,100,10д,2.0,Сочиникова_КК,8IOryPdn
67,Остюков Артур Романович,329,11и,3.0,Остюков_АР,zaLMuOJb
68,Брюкина Оксана Викторовна,98,8в,5.0,Брюкина_ОВ,YfrQKMTD
69,Кузовенков Игорь Юрьевич,322,9г,3.481,Кузовенков_ИЮ,vDF6UJcK
70,Калухов Тарас Иванович,207,11а,3.0,Калухов_ТИ,nOYYZwDx
71,Батыров Пётр Виталиевич,227,7и,3.0,Батыров_ПВ,8bP8WSg7
72,Озрина Катерина Валерьевна,147,10а,4.0,Озрина_КВ,PKAN9pZs
73,Декалова Полина Леонидовна,470,11д,5.0,Декалова_ПЛ,6snbqL2B
74,Лосицкий Владимир Кириллович,369,9т,5.0,Лосицкий_ВК,x8NUQ4UU
75,Магнусов Пётр Максимович,437,7и,5.0,Магнусов_ПМ,Nmll744C
76,Лавренков Михаил Василиевич,188,9б,2.0,Лавренков_МВ,vNyRQ1kl
77,Шушкалова Вероника Алексеевна,411,8т,5.0,Шушкалова_ВА,GwhDKEpw
78,Бороданова Маргарита Дмитриевна,118,7г,5.0,Бороданова_МД,rjzrmwiP
79,Циркина Виолетта Федоровна,231,9г,2.0,Циркина_ВФ,NvG5JMtm
80,Болохина Екатерина Андреевна,194,11д,3.0,Болохина_ЕА,kS09tnxM
81,Чукалова Дарья Валерьевна,20,10г,4.0,Чукалова_ДВ,TP3EiAaE
82,Беловолов Степан Петрович,222,9д,2.0,Беловолов_СП,bkmTGFHq
83,Зудейкина Вероника Ивановна,166,8и,3.0,Зудейкина_ВИ,JKg9djCK
84,Макунова Мария Борисовна,47,9в,5.0,Макунова_МБ,oxjiEgyQ
85,Верзанский Геннадий Андреевич,497,7д,5.0,Верзанский_ГА,A8Dwxffp
86,Алтубин Ярослав Леонидович,414,10г,5.0,Алтубин_ЯЛ,yVrAE2vq
87,Аузин Игорь Алексиевич,435,8х,5.0,Аузин_ИА,DgsVkJDT
88,Калыгин Степан Тимофеевич,353,8и,2.0,Калыгин_СТ,dEIRPTZc
89,Дурныгина Полина Игоревна,72,8и,2.0,Дурныгина_ПИ,swqgdl4C
90,Антюфеева Александра Вадимовна,347,8и,2.0,Антюфеева_АВ,ghRkF2sR
91,Лощинский Борис Романович,210,10б,3.0,Лощинский_БР,lThZB5qw
92,Ходорков Евгений Виталиевич,344,9г,5.0,Ходорков_ЕВ,MOHwQTfB
93,Кафорин Федор Данилович,427,10д,3.0,Кафорин_ФД,NtYQ774a
94,Косынская Алиса Дмитриевна,40,9в,3.0,Косынская_АД,gbgaHohc
95,Беремцев Артём Антонович,434,11т,2.0,Беремцев_АА,kI2Q1q1T
96,Влянская Мария Андреевна,490,7т,4.0,Влянская_МА,UJGrkjFL
97,Мыгеева Лиза Василевна,280,8в,5.0,Мыгеева_ЛВ,DtOjB8zn
98,Акутникова Мария Алексеевна,173,11в,2.0,Акутникова_МА,QzAWQcIi
99,Карябкин Константин Максимович,89,7и,2.0,Карябкин_КМ,iRu0dWiC
100,Прилепина Яна Максимовна,30,10в,5.0,Прилепина_ЯМ,lxqskb4Q
101,Ведищев Никита Георгиевич,365,7и,5.0,Ведищев_НГ,xBi04IE0
102,Самчева Вероника Борисовна,287,10г,3.0,Самчева_ВБ,qAC0mZfR
103,Пирцхалова Карина Леонидовна,452,10г,5.0,Пирцхалова_КЛ,BogCCMeV
104,Павлочев Денис Борисович,432,11д,5.0,Павлочев_ДБ,haQu01fX
105,Арашкова Екатерина Евгеньевна,356,8х,3.627,Арашкова_ЕЕ,GIHomxvU
106,Байсарова Людмила Василевна,215,11и,2.0,Байсарова_ЛВ,EX0gjOmI
107,Кудекина Зинаида Игоревна,250,10и,3.0,Кудекина_ЗИ,6PkRyjGQ
108,Дерналов Виталий Викторович,1,9г,4.0,Дерналов_ВВ,o8o7ZujP
109,Сазинова Галина Романовна,61,9и,3.0,Сазинова_ГР,X3i6emOG
110,Остаченова Марина Эдуардовна,229,9т,5.0,Остаченова_МЭ,f8yGPhU0
111,Битюкова Яна Егоровна,488,9и,4.0,Битюкова_ЯЕ,9iKeTMPe
112,Иваницкий Константин Борисович,232,8д,5.0,Иваницкий_КБ,vehJgJ4E
113,Белянский Владислав Игоревич,74,11б,5.0,Белянский_ВИ,8RhGo0iz
114,Баранкин Артём Алексеевич,382,9т,2.0,Баранкин_АА,gpC62HZG
115,Шкабанова Софья Вадимовна,499,9х,4.0,Шкабанова_СВ,UAbO5o7R
116,Полозлов Денис Адамович,155,8т,3.0,Полозлов_ДА,joHPXjFT
117,Жунина Светлана Михайловна,162,8в,3.0,Жунина_СМ,zy3EVecF
118,Пантыкин Борис Игоревич,245,9х,2.0,Пантыкин_БИ,P64A59sG
119,Доутова Марина Богдановна,189,11х,2.0,Доутова_МБ,Ww3mWnLr
120,Трещалова Яна Андреевна,330,8б,3.0,Трещалова_ЯА,WubNyHVC
121,Ивашечкин Александр Данилович,390,10т,4.0,Ивашечкин_АД,QfmUz5Yu
122,Мазьянова Инна Богдановна,416,11в,4.0,Мазьянова_ИБ,omVAsnq1
123,Корогев Николай Евгеньевич,184,8б,5.0,Корогев_НЕ,dYJgJSSa
124,Заидова Галина Максимовна,88,9т,4.0,Заидова_ГМ,XlwoaEZP
125,Рамхин Кирилл Алексиевич,459,9х,4.0,Рамхин_КА,n7IKuQBD
126,Кизбабаев Эдуард Фёдорович,415,11т,2.0,Кизбабаев_ЭФ,XyqguR5V
127,Соурчаков Ярослав Валериевич,268,8б,2.0,Соурчаков_ЯВ,oCk9kAP0
128,Мотяшева Алена Михайловна,404,7т,2.0,Мотяшева_АМ,WP0bq6KZ
129,Горшкова Наталия Яковлевна,340,11а,2.0,Горшкова_НЯ,pUGMF5PH
130,Зябрицкий Игорь Виталиевич,332,7а,5.0,Зябрицкий_ИВ,pIa5pmKo
131,Шельдяев Игорь Юриевич,97,7д,5.0,Шельдяев_ИЮ,9R4wEjpJ
132,Шмелькин Максим Викторович,483,9т,5.0,Шмелькин_МВ,WuGdbXFp
133,Жалкин Алексей Алексеевич,43,7а,3.0,Жалкин_АА,wZUrI6HY
134,Худасов Денис Максимович,70,10д,2.0,Худасов_ДМ,ZJentD9V
135,Швичкова Наталья Эдуардовна,398,7г,4.0,Швичкова_НЭ,LFBe9J5T
136,Едская Жанна Валерьевна,436,11в,4.0,Едская_ЖВ,OXNlcKPh
137,Поморзина Полина Евгеньевна,122,7д,4.0,Поморзина_ПЕ,Ktu55DjN
138,Будачева Кира Олеговна,55,11х,4.0,Будачева_КО,48Utuyv8
139,Молкаев Василий Валериевич,216,8д,2.0,Молкаев_ВВ,6qseqEzX
140,Яцынин Константин Тимофеевич,285,7г,2.0,Яцынин_КТ,oWLHXJXn
141,Маховиков Василий Петрович,391,7х,4.0,Маховиков_ВП,PXJd9Bqg
142,Шаметова Евгения Вадимовна,463,7а,2.0,Шаметова_ЕВ,FknEkpnP
143,Законнова Жанна Евгеньевна,442,11и,3.652,Законнова_ЖЕ,YaqVpBHB
144,Перчихин Аркадий Тимофеевич,164,10т,3.0,Перчихин_АТ,0bGUcd7c
145,Бурдасова Ксения Игоревна,203,9а,3.0,Бурдасова_КИ,cdH96jnh
146,Киссин Степан Иванович,251,7х,5.0,Киссин_СИ,rx60aJbu
147,Вапилина Мария Егоровна,77,7д,2.0,Вапилина_МЕ,davRlgNZ
148,Сигутина Дарья Федоровна,458,7б,2.0,Сигутина_ДФ,k1rjRKMM
149,Сошьяков Альберт Фёдорович,17,7т,4.0,Сошьяков_АФ,X5D491KO
150,Лугахина Клара Вадимовна,419,8в,4.0,Лугахина_КВ,mGTwayH2
151,Логецкий Анатолий Виталиевич,372,11б,4.0,Логецкий_АВ,yAfviCnI
152,Ковайкова Юлия Егоровна,75,10г,2.0,Ковайкова_ЮЕ,PQ72Pe9P
153,Вермутский Валерий Петрович,447,9и,5.0,Вермутский_ВП,MAqPfql9
154,Россомахов Олег Юриевич,56,8в,2.0,Россомахов_ОЮ,r9LKLkYY
155,Циплакова Екатерина Егоровна,471,9б,5.0,Циплакова_ЕЕ,4QcRZ7mK
156,Квятцева Алла Никитична,138,11в,2.0,Квятцева_АН,VtepG58Z
157,Выхухолева Лариса Василевна,384,8б,5.0,Выхухолева_ЛВ,tgZPB4bY
158,Целохов Андрей Вадимович,433,8и,5.0,Целохов_АВ,57aDMFbE
159,Бендин Иван Яковлевич,71,8и,4.0,Бендин_ИЯ,4PmHD7Xw
160,Лазученков Василий Алексеевич,381,7х,2.0,Лазученков_ВА,ItCVMgMj
161,Скоропухов Михаил Василиевич,69,10и,3.0,Скоропухов_МВ,SjhzcQaX
162,Мухонкин Тарас Романович,126,9и,4.0,Мухонкин_ТР,3pOc9n4A
163,Камерцев Владимир Кириллович,303,7а,3.0,Камерцев_ВК,52oaHRV1
164,Сандрыкина Анна Олеговна,324,10т,2.0,Сандрыкина_АО,VKZMejH6
165,Недбайлов Алексей Денисович,15,7т,2.0,Недбайлов_АД,7gBBa0XG
166,Серпков Ярослав Георгиевич,380,10б,4.0,Серпков_ЯГ,4ptkh167
167,Хатшуклов Аркадий Николаевич,42,11т,4.0,Хатшуклов_АН,WkLkMJen
168,Литвалиева Алиса Егоровна,10,11и,3.0,Литвалиева_АЕ,S8b3QAdN
169,Енесина Лиза Валерьевна,293,9б,5.0,Енесина_ЛВ,ggfYapLu
170,Пикальков Эдуард Алексиевич,21,8д,5.0,Пикальков_ЭА,GFy8cy9n
171,Сачинский Валентин Кириллович,125,10т,2.0,Сачинский_ВК,ykyiGPu4
172,Тарзанова Евгения Аркадьевна,96,9д,2.0,Тарзанова_ЕА,j2RnrYPI
173,Лапундин Юрий Игоревич,267,8и,5.0,Лапундин_ЮИ,Fq1CnY7I
174,Личева Лиза Михайловна,453,9б,3.0,Личева_ЛМ,SsB9Xtam
175,Смароверов Яков Борисович,131,11в,4.0,Смароверов_ЯБ,TRNG58K7
176,Вереина Алла Василевна,295,10и,3.0,Вереина_АВ,doSeX2gA
177,Погиблева Дарья Леонидовна,283,9в,5.0,Погиблева_ДЛ,1sUVFzWm
178,Байнова Анастасия Вадимовна,363,7б,3.0,Байнова_АВ,tPcC98HB
179,Шиловский Вячеслав Максимович,438,9и,4.0,Шиловский_ВМ,2gmCjkO8
180,Сыждиков Пётр Василиевич,494,11х,5.0,Сыждиков_ПВ,1GbArcnX
181,Каценова Алёна Эдуардовна,165,11т,2.0,Каценова_АЭ,1skTM0yL
182,Мужицких Ева Олеговна,348,8х,3.0,Мужицких_ЕО,PregzYzc
183,Плеснецов Степан Юрьевич,22,10а,2.0,Плеснецов_СЮ,f1KbPjOJ
184,Игумнова Алёна Сергеевна,114,9д,4.0,Игумнова_АС,8CgngNAI
185,Хадаров Владимир Валериевич,278,11т,5.0,Хадаров_ВВ,Zrqlhg8y
186,Ступакова Кира Ивановна,421,8и,3.0,Ступакова_КИ,7uhFdq35
187,Шоленинов Федор Максимович,286,11т,4.0,Шоленинов_ФМ,SIjMWlO1
188,Гундаров Руслан Николаевич,158,9д,4.0,Гундаров_РН,CuE1RPa1
189,Гречишева Марина Андреевна,464,7д,2.0,Гречишева_МА,HNHjMhJB
190,Утилова Алена Андреевна,253,11д,3.0,Утилова_АА,H85tWDKa
191,Роткичева Алиса Максимовна,410,10а,4.0,Роткичева_АМ,oAAsiHLc
192,Колтышева Марина Вадимовна,87,11г,4.0,Колтышева_МВ,84Ku1FKm
193,Гурычева Лариса Валерьевна,489,9б,2.0,Гурычева_ЛВ,5r0w2fj5
194,Горцева Кристина Никитична,246,8и,4.0,Горцева_КН,7OMpu41M
195,Кутурин Геннадий Денисович,197,9в,2.0,Кутурин_ГД,oi6b15k4
196,Стефанков Яков Евгеньевич,318,10г,3.0,Стефанков_ЯЕ,gWxVpRp9
197,Множина Людмила Василевна,90,8б,2.0,Множина_ЛВ,jJkOl5RR
198,Семисалов Георгий Иванович,316,9в,3.0,Семисалов_ГИ,SgczY7E6
199,Рогалов Альберт Валериевич,327,9б,2.0,Рогалов_АВ,S7PIfSgY
200,Черетаева Анастасия Олеговна,341,9б,2.0,Черетаева_АО,vauDA7m7
201,Радоминова Любовь Игоревна,25,9и,5.0,Радоминова_ЛИ,TUmOX8Ks
202,Шувырина Лиза Андреевна,395,9а,5.0,Шувырина_ЛА,KXJk7LZQ
203,Калиженков Семён Алексеевич,401,11а,4.0,Калиженков_СА,ULcBDSSD
204,Старокашин Константин Петрович,309,10а,3.0,Старокашин_КП,O2vM2RAB
205,Малтоцов Аркадий Яковлевич,218,8а,3.0,Малтоцов_АЯ,ZQan7qmC
206,Кузеванова Ева Егоровна,116,7д,2.0,Кузеванова_ЕЕ,yBXKCEjV
207,Нурулина Алёна Егоровна,284,9х,2.0,Нурулина_АЕ,lIIb1JP2
208,Лератов Герасим Сергеевич,374,10а,4.0,Лератов_ГС,0uVypzKA
209,Людин Руслан Аркадиевич,498,7и,3.0,Людин_РА,NC5CujeZ
210,Пурин Виктор Данилович,154,8и,5.0,Пурин_ВД,cnutIgfO
211,Лютов Виктор Юрьевич,288,11г,2.0,Лютов_ВЮ,HMjk72IS
212,Марюшкина Яна Федоровна,345,10д,5.0,Марюшкина_ЯФ,sNaaCbXe
213,Томилова Кристина Михайловна,492,11б,3.0,Томилова_КМ,bgjV4tEt
214,Дистерев Валерий Валериевич,24,7г,3.0,Дистерев_ВВ,EY3Qckpx
215,Дочкин Геннадий Алексиевич,52,11и,5.0,Дочкин_ГА,rGhcLx0j
216,Иняхин Руслан Сергеевич,234,7и,5.0,Иняхин_РС,Yei8LJXI
217,Знайкова Раиса Егоровна,148,11х,3.0,Знайкова_РЕ,CXeIfL1t
218,Кашавцев Аркадий Леонидович,58,7а,4.0,Кашавцев_АЛ,CoZgMm8k
219,Пятернина Кристина Андреевна,445,7и,2.0,Пятернина_КА,yXHF0KRW
220,Гусеева Карина Викторовна,263,9и,2.0,Гусеева_КВ,IEKz5VDH
221,Кастева Яна Сергеевна,108,7и,2.0,Кастева_ЯС,6Fbo83PD
222,Гришанин Тарас Павлович,113,10т,2.0,Гришанин_ТП,9CQefw1F
223,Грамоткин Илья Викторович,195,8д,5.0,Грамоткин_ИВ,F5AcAmgN
224,Мелисин Геннадий Василиевич,465,10г,2.0,Мелисин_ГВ,XBU9plzd
225,Цинина Светлана Яковлевна,105,11г,5.0,Цинина_СЯ,O3cmxjD7
226,Петов Георгий Адамович,57,9а,2.0,Петов_ГА,aMtyRRVS
227,Реева Валентина Максимовна,146,11и,5.0,Реева_ВМ,xoOWNJrR
228,Слесивых Мария Аркадьевна,35,7и,5.0,Слесивых_МА,wad1mquM
229,Афтаева Полина Ивановна,193,10д,5.0,Афтаева_ПИ,VwK35dYG
230,Кривицкий Валентин Виталиевич,208,8х,5.0,Кривицкий_ВВ,DeVkB0gT
231,Чубатов Константин Леонидович,279,11а,4.0,Чубатов_КЛ,LdulfqzW
232,Партенков Геннадий Павлович,418,8х,3.0,Партенков_ГП,zrFzDS97
233,Черушев Григорий Борисович,84,7г,4.0,Черушев_ГБ,etboStdC
234,Тютекин Георгий Тимофеевич,262,7а,2.0,Тютекин_ГТ,BPBgpnhW
235,Янкевский Вячеслав Адамович,167,11г,4.0,Янкевский_ВА,yJGcdjAG
236,Сухручкина Клавдия Аркадьевна,177,7в,4.0,Сухручкина_КА,U2uEG5SF
237,Конофалова Клара Петровна,95,11д,5.0,Конофалова_КП,fqf5Owyr
238,Лигасов Михаил Павлович,491,11г,4.0,Лигасов_МП,LSKUtmK5
239,Писарьков Альберт Игоревич,313,8в,4.0,Писарьков_АИ,vrfMFRh3
240,Варов Кирилл Иванович,28,8а,5.0,Варов_КИ,PsLGKqP7
241,Пурынов Евгений Петрович,244,9и,3.0,Пурынов_ЕП,jrTCegHa
242,Супрутская Вероника Викторовна,187,9а,2.0,Супрутская_ВВ,l3KXboHl
243,Скроцкая Алина Федоровна,127,8г,3.0,Скроцкая_АФ,7PYcVXXu
244,Барадулин Вадим Юрьевич,281,11х,3.0,Барадулин_ВЮ,6EDxIbph
245,Точилин Дмитрий Фёдорович,476,8а,2.0,Точилин_ДФ,AGR5aUb2
246,Бикмуллин Руслан Валериевич,333,11т,2.0,Бикмуллин_РВ,I7szl5Gq
247,Серпичев Василий Алексиевич,394,10х,5.0,Серпичев_ВА,6Rclj3iz
248,Вострышев Яков Аркадиевич,343,8г,5.0,Вострышев_ЯА,z1hYe95s
249,Грушчева София Евгеньевна,480,11в,3.652,Грушчева_СЕ,fPDHMwvW
250,Кулапов Александр Юрьевич,109,9б,5.0,Кулапов_АЮ,RFMJehNC
251,Чибисенков Владислав Фёдорович,375,8х,3.0,Чибисенков_ВФ,7NqU5MJh
252,Утилов Роман Василиевич,254,9х,2.0,Утилов_РВ,4JTbBNNj
253,Татаурова Галина Федоровна,145,10т,4.0,Татаурова_ГФ,E6YvzgK4
254,Визавитина Наталия Леонидовна,101,10г,2.0,Визавитина_НЛ,cTn1TWHt
255,Мягченков Артём Денисович,115,7б,4.0,Мягченков_АД,jSzUZoG5
256,Брикова Инна Богдановна,256,9б,4.0,Брикова_ИБ,RF76vG1M
257,Наторкин Валентин Данилович,319,7и,2.0,Наторкин_ВД,vUjLEAXU
258,Эштрекова Софья Алексеевна,76,9в,3.0,Эштрекова_СА,ksDqmaaC
259,Кутаманова Кира Андреевна,182,10т,2.0,Кутаманова_КА,u4aMLbgz
260,Кыштымова Евгения Эдуардовна,255,8в,5.0,Кыштымова_ЕЭ,iWwXHWqy
261,Ккнязева Клавдия Дмитриевна,34,7б,5.0,Ккнязева_КД,Nu3T52B0
262,Глаголина Алиса Никитична,249,9д,2.0,Глаголина_АН,ifoDJwqq
263,Рисина Раиса Валерьевна,451,10а,4.0,Рисина_РВ,ttPRzPeA
264,Ребров Алексей Георгиевич,289,8и,3.0,Ребров_АГ,zFqkEizX
265,Вырысалова Александра Евгеньевна,39,11и,2.0,Вырысалова_АЕ,ZdgQStwz
266,Гомольский Владимир Юриевич,314,11х,5.0,Гомольский_ВЮ,LsM2EvpK
267,Швинова Марина Федоровна,271,8г,5.0,Швинова_МФ,ZegmY5lb
268,Рудковская Инна Дмитриевна,6,7т,3.0,Рудковская_ИД,dJ9oxVZK
269,Решеткина Дарья Василевна,408,10и,3.0,Решеткина_ДВ,WFwbk9M4
270,Евстихеев Игорь Василиевич,422,10х,5.0,Евстихеев_ИВ,zxRjUSlF
271,Лазарина Алёна Федоровна,161,8б,3.0,Лазарина_АФ,ptgE3zFf
272,Гляченков Григорий Николаевич,431,10а,5.0,Гляченков_ГН,EfrOlmwq
273,Чардынцева Алина Вадимовна,135,10д,3.0,Чардынцева_АВ,w4LPIyWa
274,Скаредов Яков Иванович,337,9т,5.0,Скаредов_ЯИ,nuSLYIAe
275,Юрицкий Эдуард Денисович,192,7д,3.0,Юрицкий_ЭД,jgNFMKGG
276,Кравчина Светлана Аркадьевна,413,11г,5.0,Кравчина_СА,GzweTOzL
277,Чмареткова Полина Вадимовна,449,10а,2.0,Чмареткова_ПВ,UZUgSiZi
278,Углова Галина Романовна,260,9г,3.0,Углова_ГР,qVmdbbOL
279,Згуровская Виктория Андреевна,220,9т,4.0,Згуровская_ВА,csZd0HUW
280,Секерский Станислав Сергеевич,235,10а,4.0,Секерский_СС,PSnz2ua5
281,Жевайкин Евгений Адамович,86,11г,3.0,Жевайкин_ЕА,WpYT3Xkj
282,Коточигов Семён Игоревич,26,9д,5.0,Коточигов_СИ,dWv8AFDQ
283,Калонин Альберт Денисович,297,8б,2.0,Калонин_АД,wpgun1c9
284,Валягин Григорий Антонович,94,10в,4.0,Валягин_ГА,ksK93prJ
285,Коцева Кристина Николаевна,412,9г,3.0,Коцева_КН,hpgjjqeB
286,Голина Кристина Максимовна,3,7х,3.0,Голина_КМ,oNq3ie6z
287,Батрамеев Анатолий Романович,354,9х,3.0,Батрамеев_АР,UkL4R925
288,Чикмарев Валентин Валериевич,306,9и,5.0,Чикмарев_ВВ,R3fTUlzY
289,Киницына Валерия Олеговна,202,7х,4.0,Киницына_ВО,FukS6kFd
290,Числин Юрий Денисович,121,7в,2.0,Числин_ЮД,gNAImY0j
291,Стебунова Юлия Романовна,358,9т,3.0,Стебунова_ЮР,2rUwZdcD
292,Кацов Павел Павлович,236,10г,5.0,Кацов_ПП,UM6XxP6P
293,Гоцев Тарас Викторович,41,8в,3.0,Гоцев_ТВ,9mhvmf26
294,Мотовицкий Роман Аркадиевич,31,11и,5.0,Мотовицкий_РА,nNLMDGjJ
295,Чурзина Клара Егоровна,308,10б,3.0,Чурзина_КЕ,AgGE8Ah9
296,Щепалкина Валерия Сергеевна,134,9б,4.0,Щепалкина_ВС,A17sjq4d
297,Утимишев Ярослав Игоревич,239,11а,3.0,Утимишев_ЯИ,iGQtTQN4
298,Алуханов Кирилл Фёдорович,298,7т,2.0,Алуханов_КФ,sp5rIpQG
299,Полунеев Валентин Валериевич,307,8и,2.0,Полунеев_ВВ,nldTk5Xb
300,Крупенова Наталия Андреевна,209,7в,5.0,Крупенова_НА,s7jAzkN1
301,Корнюшин Илья Юрьевич,44,10т,3.0,Корнюшин_ИЮ,MWqMynmo
302,Паушева Виолетта Никитична,310,8г,4.0,Паушева_ВН,fAHRli4i
303,Берзин Герасим Антонович,349,11т,5.0,Берзин_ГА,P3JjdFwg
304,Шулунова Алла Алексеевна,54,7д,4.0,Шулунова_АА,po0VGHfX
305,Трепашова София Яковлевна,399,11а,2.0,Трепашова_СЯ,2HAlMhaT
306,Чумейкин Константин Антонович,8,8б,5.0,Чумейкин_КА,IxNfTLVP
307,Польшиков Денис Игоревич,495,9и,2.0,Польшиков_ДИ,LE0c5bYd
308,Медоусова Жанна Романовна,252,7б,2.0,Медоусова_ЖР,uoh5feaH
